Vpp,Freq    ,CorrFreq,Amp       ,AvAmp      ,Tau       ,AvTau
0.6,15128.59,15128.59,33.4743911,33.4743911 ,1717.57895,1717.57895
1  ,25026.81,25026.81,21.3650877,23.62988984,900.331579,1015.033834
1  ,24585.13,24585.13,21.7757093,23.62988984,904.7     ,1015.033834
1  ,24437.93,24437.93,24.1235639,23.62988984,970.226316,1015.033834
1  ,25031.29,25031.29,35.3665079,23.62988984,1148.45789,1015.033834
1  ,25740.03,25740.03,16.1917419,23.62988984,969.352632,1015.033834
1  ,25062.66,25062.66,30.341203 ,23.62988984,1144.96316,1015.033834
1  ,25010.42,25010.42,16.2454152,23.62988984,1067.20526,1015.033834
1.6,39453.72,39453.72,25.3202152,24.11996325,833.931579,793.305263
1.6,38929.44,38929.44,22.9197113,24.11996325,752.678947,793.305263
2  ,48146.36,48146.36,29.1422102,31.16349641,548.673684,824.7125001
2  ,50139.28,50139.28,9.71035821,31.16349641,451.257895,824.7125001
2  ,48780.49,48780.49,10.277004 ,31.16349641,554.789474,824.7125001
2  ,23929.81,47859.62,21.2249429,31.16349641,1367.87368,824.7125001
2  ,24032.68,48065.36,43.945275 ,31.16349641,1342.34211,824.7125001
2  ,24855.01,49710.02,70.5977527,31.16349641,1405.78421,824.7125001
2  ,48076.92,48076.92,30.6697655,31.16349641,463.926316,824.7125001
2  ,48154.09,48154.09,33.7406628,31.16349641,463.052632,824.7125001
3.5,40877   ,81754   ,33.8940537,24.78017138,896.4     ,889.7381563
3.5,40803.52,81607.04,22.2472711,24.78017138,1237.57368,889.7381563
3.5,82644.63,82644.63,18.8756441,24.78017138,1054.53684,889.7381563
3.5,81402.63,81402.63,24.1037166,24.78017138,370.442105,889.7381563
